word,tone,mandarin,gloss,register,tone_base,checked,syllable_count,contains_glottal_stop,tone_value,syll1,syll2
ɛ,T1,哀,grief,1,T1,FALSE,1,FALSE,53,ɛ,
pɛ,T1,杯,cup,1,T1,FALSE,1,FALSE,53,pɛ,
tɛ,T1,堆,stack,1,T1,FALSE,1,FALSE,53,tɛ,
ɛ,T2,爱,love,1,T2,FALSE,1,FALSE,35,ɛ,
pɛ,T2,板,board,1,T2,FALSE,1,FALSE,35,pɛ,
tɛ,T2,胆,gallbladder,1,T2,FALSE,1,FALSE,35,tɛ,
ɛ,T3,咸,salty,0,T3,FALSE,1,FALSE,13,ɛ,
bɛ,T3,办,handle,0,T3,FALSE,1,FALSE,13,bɛ,
dɛ,T3,谈,talk,0,T3,FALSE,1,FALSE,13,dɛ,
aʔ,T4,鸭,duck,1,T4,TRUE,1,TRUE,5,aʔ,
paʔ,T4,八,eight,1,T4,TRUE,1,TRUE,5,paʔ,
taʔ,T4,搭,build,1,T4,TRUE,1,TRUE,5,taʔ,
aʔ,T5,盒,box,0,T5,TRUE,1,TRUE,3,aʔ,
baʔ,T5,白,white,0,T5,TRUE,1,TRUE,3,baʔ,
daʔ,T5,踏,tread,0,T5,TRUE,1,TRUE,3,daʔ,
fɛ,T1,翻,turn over,1,T1,FALSE,1,FALSE,53,fɛ,
sɛ,T1,三,three,1,T1,FALSE,1,FALSE,53,sɛ,
mɛ,T1,蛮,quite,1,T1,FALSE,1,FALSE,53,mɛ,
nɛ,T1,拿,take,1,T1,FALSE,1,FALSE,53,nɛ,
fɛ,T2,反,reverse,1,T2,FALSE,1,FALSE,35,fɛ,
sɛ,T2,伞,umbrella,1,T2,FALSE,1,FALSE,35,sɛ,
mɛ,T2,美,beautiful,1,T2,FALSE,1,FALSE,35,mɛ,
vɛ,T3,饭,rice,0,T3,FALSE,1,FALSE,13,vɛ,
zɛ,T3,才,talent,0,T3,FALSE,1,FALSE,13,zɛ,
mɛ,T3,梅,plum,0,T3,FALSE,1,FALSE,13,mɛ,
nɛ,T3,难,difficult,0,T3,FALSE,1,FALSE,13,nɛ,
