,聲韻,,聲調,字元,字數,,,,,,
47,aʔ,,陰入5,"阿, 鴨, 押, 壓",4,,,,,,
48,iaʔ,,陰入5,約,1,,,,,,
49,uaʔ,,陰入5,挖,1,,,,,,
50,oʔ,,陰入5,"惡, 握, 屋, 沃, 噩, 幄, 齷, 渥",8,,,,,,
51,ioʔ,,陰入5,郁,1,,,,,,
52,əʔ,,陰入5,"遏, 㷈, 盦",3,,,,,,
53,uəʔ,,陰入5,", 殟",2,,,,,,
54,iɪʔ,,陰入5,"縊, 靨, 揖, 噎, 乙, 一, 抑, 益, 咽, 壹, 溢, 邑, 謁, 屹, 悒, 搕, 擪",17,,,,,,
55,yɪʔ,,陰入5,郁,1,,,,,,
81,paʔ,,陰入5,"八, 百, 柏, 伯, 擘, 捌",6,,,,,,
82,poʔ,,陰入5,"博, 剝, 駁, 北, 卜, 膊, 搏",7,,,,,,
83,pəʔ,,陰入5,"鉢, 撥, 不",3,,,,,,
84,piɪʔ,,陰入5,"鼈, 筆, 畢, 必, 逼, 碧, 璧, 闢, 壁, 潷, 癟, 嗶",12,,,,,,
104,pʰaʔ,,陰入5,"帕, 泊, 迫, 拍, 魄, 珀, 粕, 舶",8,,,,paʔ,陰入5,
105,pʰoʔ,,陰入5,"樸, 朴, 撲, 仆, 噗, 璞, 濮, 蹼",8,,,,pʰaʔ,陰入5,
106,pʰəʔ,,陰入5,潑,1,,,,baʔ,陽入1,"拔, 白, 帛, 跋"
107,pʰiɪʔ,,陰入5,"撇, 匹, 僻, 闢, 劈, 霹, 瞥, 癖",8,,,,pa,陰平53,"巴, 芭, 疤, 爸, 叭, 笆"
169,faʔ,,陰入5,"法, 髮, 發, 琺, 砝",5,,,,pʰã,陰平53,乓
170,foʔ,,陰入5,"復, 福, 幅, 蝠, 複, 腹, 覆, 輻, 馥, 蝮",10,,,,ba,陽去13,"爬, 琶, 排, 牌, 罷, 稗, 敗, 俳"
171,fəʔ,,陰入5,彿,1,,,,pa,陰去35,"把, 霸, 欛, 壩, 垻, 拜, 擺, 靶, 湃"
210,taʔ,,陰入5,"答, 搭, 沓, 褡, 耷, 瘩, 妲, 嗒, 鎝, 㿯, 溚",11,,,,,,
211,toʔ,,陰入5,"篤, 督, 沰, 厾, 豛",5,,,,,,
212,təʔ,,陰入5,"綴, 掇, 得, 德, 敠",5,,,,,,
238,tʰaʔ,,陰入5,"搨, 塔, 榻, 塌, 溻, 獺, 遢, 蹋, 呾, 鰨",10,,,,paʔ,T4,eight
239,tʰoʔ,,陰入5,"託, 托, 魄, 禿, 庹, 拓, 橐, 柝, 袥",9,,,,pʰaʔ,T4,handercheif
240,tʰəʔ,,陰入5,"脫, 忒, 禿",3,,,,baʔ,T5,white
241,tʰiɪʔ,,陰入5,"帖, 貼, 鐵, 踢, 剔, 惕",6,,,,pa,T1,father
,,,,,,,,,pa,T2,dam
330,ʦaʔ,,陰入5,"劄, 札, 紮, 着, 酌, 窄, 隻, 炙, 咂, 灼, 匝",11,,,,pʰã,T1,(ping)pong
331,ʦoʔ,,陰入5,"拙, 作, 桌, 卓, 琢, 啄, 捉, 竹, 築, 祝, 粥, 足, 燭, 囑, 茁, 斫, 矚, 竺, 蹙, 唶, 瘃",21,,,,ba,T3,climb
332,ʦəʔ,,陰入5,"只, 摺, 褶, 執, 汁, 哲, 折, 浙, 拙, 質, 卒, 則, 側, 織, 職, 摘, 責, 仄, 窒, 蛭, 嘖, 唶",22,,,,,,
357,ʦʰaʔ,,陰入5,"插, 擦, 察, 綽, 拆, 㿭, 策, 册, 赤, 斥, 尺, 坼",12,,,,,,
358,ʦʰoʔ,,陰入5,"撮, 猝, 綽, 戳, 畜, 促, 觸, 擉, 齪, 簇, 矗, 輟, 怵, 啜, 蹴",15,,,,,,
359,ʦʰəʔ,,陰入5,"徹, 撤, 轍, 撮, 猝, 出, 飭, 側, 測, 拆, 斥, 掣, 惻, 澈, 叱, 黜, 敕",17,,,,,,
384,saʔ,,陰入5,"眨, 濕, 撒, 薩, 殺, 栅, 刹, 颯, 煞, 霎",10,,,,,,
385,soʔ,,陰入5,"塑, 宿, 索, 朔, 速, 肅, 縮, 叔, 粟, 束, 爍, 碩, 夙, 菽, 謖, 溯, 蓿, 鑠, 嗍, 倏",20,,,,,,
386,səʔ,,陰入5,"攝, 澀, 濕, 設, 刷, 說, 瑟, 蝨, 失, 室, 率, 蟀, 塞, 色, 嗇, 識, 式, 飾, 適, 釋, 穡, 拭",22,,,,,,
424,ʨiaʔ,,陰入5,"夾, 裌, 甲, 胛, 爵, 腳, 莢, 頰, 鉀",9,,,,,,
425,ʨioʔ,,陰入5,"覺, 厥, 決, 訣, 橘, 鑊, 菊, 掬, 鞠, 抉, 蹶, 孓, 蕨, 攫, 玨",15,,,,,,
426,ʨiɪʔ,,陰入5,"髻, 接, 劫, 挾, 急, 級, 給, 揭, 節, 結, 潔, 䥛, 吉, 即, 鯽, 戟, 積, 跡, 脊, 績, 擊, 激, 拮, 棘, 莢, 桔, 頰, 稷, 漬, 孑, 汲, 瘠, 癤, 唧, 鶺",35,,,,,,
427,ʨyɪʔ,,陰入5,"覺, 厥, 決, 訣, 橘, 钁, 菊, 掬, 鞠, 抉, 蹶, 孑, 蕨, 攫",14,,,,,,
443,ʨʰiaʔ,,陰入5,"恰, 洽, 怯, 雀, 鵲, 卻, 皵",7,,,,,,
