word,mandarin,gloss,cittation_tone,sandhi_tone,syllable
tɔ,刀,knife,T1,53,1
toŋ,东,east,T1,53,1
tsɿ,知,know,T1,53,1
tɕiã,浆,thick liquid,T1,53,1
pa,爸,father,T1,53,1
kʰuø.sɿ,宽舒,comfortable,T1.T1,55.21,2
kA.sã,家生,domestic-born; native-born,T1.T1,55.21,2
in.kɤ,阴沟,ditch; sewer,T1.T1,55.21,2
ɕiã.tã,相打,to fight; to quarrel,T1.T2,55.21,2
ho.tɕyø,花卷,steamed twisted bun,T1.T2,55.21,2
sã.kã,霜降,frost descent (solar term),T1.T2,55.21,2
foŋ.dɤ,风头,wind head (wind direction),T1.T3,55.21,2
hø.mi,虾米,dried shrimp,T1.T3,55.21,2
sE.ɦy,山芋,yam,T1.T3,55.21,2
sɤ.tsoʔ,收捉,to pick up; to gather,T1.T4,55.21,2
sɿ.tsoʔ,丝竹,traditional instruments (strings and bamboo flutes),T1.T4,55.21,2
kʰA.tʰəʔ,揩脱,to pull off; to strip off,T1.T4,55.21,2
soŋ.moʔ,松木,pine wood,T1.T5,55.21,2
u.zəʔ,乌贼,squid ,T1.T5,55.21,2
tsɿ.zəʔ,猪舌,pig tongue,T1.T5,55.21,2
tɔ,岛,island,T2,34,1
tɕiã,奖,award,T2,34,1
tɕiã,酱,sauce,T2,34,1
sɿ,水,water,T2,34,1
pa,坝,dam,T2,34,1
me,美,pretty,T2,34,1
sy.ɕin,手心,palm (of the hand),T2.T1,33.44,2
tɕiɤ.tsoŋ ,酒盅,goblet,T2.T1,33.44,2
tsɔ.kE,灶间,between stoves (kitchen),T2.T1,33.44,2
i.sɿ,意思,meaning; idea,T2.T1,55.21,2
ɕi.tɕiɤ,喜酒,wedding wine,T2.T2,33.44,2
tɕin.tsɿ,景致,scenery; view,T2.T2,33.44,2
sE.ku,赛过,to surpass; to outshine,T2.T2,33.44,2
sø.su,算数,to count; to matter,T2.T2,55.21,2
ø.tsɔ,按照,according to; following,T2.T2,55.21,2
tin.bã,顶棚,ceiling; roof interior,T2.T3,33.44,2
ku.vã,过房,adopted (transferred between families),T2.T3,33.44,2
pʰiɔ.liã,漂亮,pretty; beautiful,T2.T3,33.44,2
ɔ.lɔ,懊恼,regret angry,T2.T3,55.21,2
pʰɔ.zã,炮仗,firecracker,T2.T3,55.21,2
pE.vən,辈分,seniority; generation (in family),T2.T3,55.21,2
tʰin.kuAʔ,挺括,stiff; upright,T2.T4,33.44,2
ɕiɔ.təʔ,晓得,to know; to understand,T2.T4,33.44,2
tɕʰi.sAʔ,气煞,furious; extremely angry (lit. “angry to death”),T2.T4,33.44,2
sɤ.zo?,手镯,bracelet,T2.T5,33.44,2
fi.boʔ,菲薄,belittle,T2.T5,55.21,2
dɔ,桃,peach,T3,23,1
dɔ,导,guide,T3,23,1
dɔ,道,road,T3,23,1
ɕiAʔ,墙,wall,T3,23,1
ba,爬,climb,T3,23,1
ma,马,horse,T3,23,1
lin.kuã,灵光,inspiration,T3.T1,22.44,2
bɑ̃.pin,棒冰,popsicle,T3.T1,22.44,2
dɤ.tɕʰin,豆青,light green (pea green),T3.T1,22.44,2
lE.ɕiã,雷响,thunder,T3.T2,22.44,2
zã.ho,场化,(to) commercialize; stage (event),T3.T2,22.44,2
ŋA.kʰuA,外快,extra income,T3.T2,22.44,2
